Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
1.014700815,0.20%,2.70%,67,11.70%,1.50%,30,0.00%,-14.30%,11,-23,-19,$340K,-0.30%,3.80%,76,28.80%,20.60%,5/31/2016,All Residential,"Portland, OR - Pleasant Valley"
0.987690452,1.20%,2.40%,18,-5.30%,-21.70%,12,-14.30%,-29.40%,61,28,3.5,$445K,6.00%,7.60%,5,-44.40%,-54.50%,1/31/2012,All Residential,"Portland, OR - Laurelhurst"
1.037822024,-0.80%,-5.70%,31,47.60%,-3.10%,8,33.30%,14.30%,6.5,-0.5,0.5,$360K,2.90%,14.10%,31,0.00%,-32.60%,6/30/2017,All Residential,"Portland, OR - Madison South"
0.978135368,-0.30%,-1.70%,11,-15.40%,-26.70%,7,-36.40%,-50.00%,19,0,-1,$540K,0.00%,-2.70%,10,-37.50%,-28.60%,12/31/2017,All Residential,"Portland, OR - Vernon"
0.997277619,0.40%,2.50%,46,24.30%,-13.20%,35,6.10%,-30.00%,37,8,-9,$177K,-4.00%,0.00%,58,16.00%,45.00%,4/30/2013,All Residential,"Portland, OR - St. Johns"
0.996415139,0.50%,0.60%,120,-3.20%,66.70%,70,1.40%,-15.70%,22,0,-16,$220K,0.00%,12.80%,108,-10.70%,14.90%,8/31/2015,All Residential,"Portland, OR - Powellhurst-Gilbert"
0.987397759,-1.10%,0.40%,13,-31.60%,62.50%,1,-85.70%,-87.50%,8,-2,-36,$394K,0.00%,13.20%,10,-28.60%,42.90%,1/31/2013,All Residential,"Portland, OR - Sabin"
0.995075431,0.50%,0.20%,457,14.50%,34.80%,199,4.20%,-12.70%,13,-11,-10,$393K,2.20%,9.60%,449,11.40%,10.90%,5/31/2015,All Residential,"Portland, OR - Lair Hill"
1.013652692,-0.40%,-0.50%,35,16.70%,25.00%,19,46.20%,0.00%,5.5,-1.5,-0.5,$330K,0.50%,7.70%,43,10.30%,26.50%,8/31/2014,All Residential,"Portland, OR - Creston-Kenilworth"
0.996945095,-0.40%,-1.80%,29,16.00%,16.00%,11,-8.30%,0.00%,47,18,26,$226K,0.20%,5.30%,15,-11.80%,-42.30%,12/31/2014,All Residential,"Portland, OR - Madison South"
0.983289756,-0.10%,-0.20%,42,10.50%,40.00%,8,-27.30%,-52.90%,36,6,6,$378K,4.10%,10.40%,16,-30.40%,-11.10%,12/31/2012,All Residential,"Portland, OR - Mount Tabor"
0.963749588,0.90%,1.70%,5,0.00%,-28.60%,4,-20.00%,-55.60%,117.5,-41.5,-2,$186K,-46.00%,-25.60%,9,12.50%,12.50%,6/30/2014,All Residential,"Portland, OR - Homestead"
1.001590388,2.30%,-0.10%,27,22.70%,-12.90%,12,33.30%,-7.70%,8,-37.5,-39.5,$224K,11.00%,8.20%,34,30.80%,78.90%,5/31/2014,All Residential,"Portland, OR - Madison South"
0.962354085,-1.20%,-3.40%,34,9.70%,3.00%,57,11.80%,54.10%,93,57,56,$747K,-11.50%,-0.10%,31,0.00%,0.00%,2/28/2018,All Residential,"Portland, OR - Southwest Hills"
1.033488138,0.20%,-0.80%,18,-21.70%,-33.30%,7,40.00%,-22.20%,7,0,-2.5,$444K,4.40%,15.20%,24,14.30%,26.30%,8/31/2015,All Residential,"Portland, OR - Humboldt"
1.006468711,0.80%,-2.50%,40,17.60%,0.00%,27,35.00%,125.00%,7.5,-11.5,-10.5,$423K,0.00%,0.50%,64,48.80%,73.00%,4/30/2018,All Residential,"Portland, OR - Kenton"
0.979640181,-0.40%,-0.10%,33,-21.40%,17.90%,33,3.10%,57.10%,28,2.5,-13.5,$233K,0.10%,-11.10%,27,-12.90%,50.00%,1/31/2015,All Residential,"Portland, OR - Wilkes"
1.012745715,-0.40%,-1.00%,46,0.00%,-19.30%,25,13.60%,25.00%,9.5,3.5,3,$393K,9.80%,4.80%,52,4.00%,0.00%,8/31/2017,All Residential,"Portland, OR - Cully"
0.987468543,0.00%,-4.00%,15,-6.30%,66.70%,7,75.00%,-41.70%,48.5,0.5,40.5,$515K,1.50%,0.40%,15,200.00%,-16.70%,3/31/2018,All Residential,"Portland, OR - Boise"
1.015164716,0.90%,3.00%,88,-2.20%,7.30%,39,25.80%,-39.10%,14,-13.5,-47,$244K,5.40%,17.60%,101,27.80%,3.10%,4/30/2016,All Residential,"Portland, OR - Powellhurst-Gilbert"
0.997517069,1.20%,0.00%,24,26.30%,-17.20%,16,6.70%,-5.90%,14,3,-8.5,$577K,0.40%,20.50%,29,-6.50%,-19.40%,7/31/2016,All Residential,"Portland, OR - Arnold Creek"
0.994831315,-0.20%,1.50%,45,-11.80%,25.00%,24,4.30%,-33.30%,14,0.5,-11,$325K,7.80%,5.70%,51,10.90%,-1.90%,6/30/2012,All Residential,"Portland, OR - Richmond"
1.001602694,-5.10%,-0.80%,4,-50.00%,-42.90%,12,0.00%,140.00%,17.5,-9.5,-48.5,$157K,-0.60%,22.30%,11,37.50%,83.30%,3/31/2013,All Residential,"Portland, OR - Sumner"
0.960827884,-0.70%,-3.30%,22,29.40%,22.20%,10,-28.60%,-47.40%,25,-128.5,-44,$432K,-0.70%,1.60%,25,19.00%,38.90%,5/31/2012,All Residential,"Portland, OR - Laurelhurst"
0.971435592,-1.50%,2.30%,47,23.70%,4.40%,53,-13.10%,-32.90%,102.5,41.5,-21,$131K,-3.20%,4.60%,35,-22.20%,-22.20%,4/30/2012,All Residential,"Portland, OR - Brentwood-Darlington"
0.964765846,-0.10%,2.10%,9,-30.80%,-40.00%,24,14.30%,41.20%,189,138.5,60.5,$585K,1.70%,17.20%,12,33.30%,50.00%,2/28/2013,All Residential,"Portland, OR - Hillside"
0.99868241,-0.90%,2.10%,10,-23.10%,0.00%,13,8.30%,8.30%,10,-10,-23,$323K,11.30%,10.50%,15,-11.80%,36.40%,8/31/2012,All Residential,"Portland, OR - Markham"
1.010930733,-0.40%,1.80%,30,30.40%,7.10%,9,-40.00%,-40.00%,14,4.5,-8,$331K,13.10%,9.10%,34,6.30%,-5.60%,5/31/2013,All Residential,"Portland, OR - King"
1.009827648,-2.40%,-1.50%,55,17.00%,66.70%,27,3.80%,8.00%,6,0,-3,$425K,0.00%,12.80%,57,-13.60%,39.00%,8/31/2017,All Residential,"Portland, OR - Multnomah Village"
1.009556251,-0.40%,6.90%,9,0.00%,200.00%,5,-37.50%,-50.00%,40.5,0,-4.5,$249K,0.00%,13.20%,7,-30.00%,133.30%,9/30/2015,All Residential,"Portland, OR - Glenfair"
1.084481237,0.30%,6.50%,48,-5.90%,128.60%,11,175.00%,0.00%,5,0,-0.5,$362K,3.30%,15.90%,43,-2.30%,72.00%,8/31/2015,All Residential,"Portland, OR - South Tabor"
0.969210447,-4.20%,-2.80%,8,-20.00%,166.70%,2,-33.30%,-33.30%,30,3,25,$349K,16.50%,101.70%,5,-16.70%,25.00%,2/28/2018,All Residential,"Portland, OR - East Columbia"
0.994958804,-1.20%,2.50%,8,-11.10%,-20.00%,10,0.00%,-16.70%,65,-61,-49,$146K,-19.10%,-7.30%,5,-28.60%,0.00%,7/31/2012,All Residential,"Portland, OR - Glenfair"
0.992275418,-0.20%,-1.20%,29,-12.10%,0.00%,24,4.30%,20.00%,20,-3,11,$485K,14.10%,14.10%,37,-2.60%,85.00%,8/31/2014,All Residential,"Portland, OR - Bridlemile"
1.014611795,2.10%,-0.10%,30,7.10%,50.00%,10,-16.70%,0.00%,21,0,15,$443K,-4.20%,12.10%,24,0.00%,26.30%,1/31/2017,All Residential,"Portland, OR - King"
1.012968026,-2.30%,1.40%,6,-25.00%,-40.00%,7,-12.50%,16.70%,6.5,0,0.5,$315K,4.30%,16.10%,10,-9.10%,-16.70%,8/31/2017,All Residential,"Portland, OR - Glenfair"
1.005180537,1.40%,2.00%,26,0.00%,-10.30%,10,-33.30%,-54.50%,13,0,-60,$244K,-3.20%,16.00%,23,-14.80%,-17.90%,2/29/2016,All Residential,"Portland, OR - Southgate"
1.011889331,-0.10%,0.10%,42,-8.70%,-12.50%,27,8.00%,50.00%,9,-0.5,2,$378K,-3.90%,8.60%,41,-21.20%,-12.80%,9/30/2017,All Residential,"Portland, OR - Cully"
1.059522496,5.20%,0.80%,25,13.60%,8.70%,12,9.10%,0.00%,7,-4,-2,$305K,0.70%,10.90%,31,-13.90%,24.00%,9/30/2017,All Residential,"Portland, OR - Parkrose"
0.993573451,-1.00%,-4.50%,7,-12.50%,75.00%,9,28.60%,125.00%,90,59.5,82,$380K,-20.40%,-41.20%,9,12.50%,-25.00%,3/31/2017,All Residential,"Portland, OR - Kerns"
0.975657504,0.40%,-1.30%,19,-5.00%,-13.60%,35,-14.60%,0.00%,48,-42.5,-129,$348K,4.50%,57.20%,30,15.40%,30.40%,3/31/2013,All Residential,"Portland, OR - Downtown Portland"
0.990161726,0.60%,-3.80%,14,7.70%,0.00%,7,0.00%,0.00%,63,3,-20,$218K,1.90%,-0.60%,7,16.70%,-12.50%,2/28/2015,All Residential,"Portland, OR - Russell"
1.025722378,0.10%,-0.30%,58,26.10%,26.10%,21,10.50%,5.00%,6,-1,-1,$565K,-2.90%,13.60%,68,3.00%,0.00%,5/31/2017,All Residential,"Portland, OR - Richmond"
0.991552534,0.20%,2.10%,142,17.40%,21.40%,76,10.10%,-39.20%,16,-10.5,-33.5,$336K,4.00%,12.00%,157,18.90%,6.80%,5/31/2012,All Residential,"Portland, OR - Hawthorne District"
0.971324878,-3.90%,-7.80%,5,-28.60%,-50.00%,5,400.00%,150.00%,14,-23.5,6.5,$636K,48.30%,49.80%,13,116.70%,-13.30%,3/31/2016,All Residential,"Portland, OR - Boise"
1.023706419,0.50%,2.90%,98,-3.00%,38.00%,52,18.20%,-20.00%,10,-6.5,-7,$225K,5.90%,18.40%,105,18.00%,20.70%,7/31/2015,All Residential,"Portland, OR - Lents"
1.045889841,0.90%,2.00%,124,2.50%,-10.10%,56,47.40%,7.70%,7,-1,0,$534K,2.60%,18.40%,177,29.20%,2.90%,4/30/2016,All Residential,"Portland, OR - Hawthorne District"
1.04001058,1.40%,2.30%,30,-11.80%,30.40%,7,-41.70%,-63.20%,10.5,1.5,-8.5,$486K,2.70%,13.10%,23,-25.80%,-20.70%,9/30/2016,All Residential,"Portland, OR - Hayhurst"
1.023579447,1.20%,2.60%,10,-9.10%,66.70%,6,0.00%,-50.00%,65.5,-35,-22,$577K,7.00%,10.00%,12,9.10%,9.10%,6/30/2015,All Residential,"Portland, OR - Sylvan-Highlands"
1.056441775,-2.50%,0.80%,15,87.50%,50.00%,9,28.60%,800.00%,6,0,-1.5,$530K,-1.90%,24.70%,22,22.20%,120.00%,5/31/2016,All Residential,"Portland, OR - Kerns"
1.039151871,3.40%,3.20%,14,0.00%,16.70%,12,0.00%,-33.30%,19,5.5,-8.5,$201K,-1.00%,9.50%,16,-15.80%,-23.80%,8/31/2013,All Residential,"Portland, OR - Russell"
0.996629885,1.10%,1.70%,25,19.00%,-26.50%,24,-4.00%,-25.00%,12,-19.5,-20,$324K,6.20%,8.30%,45,18.40%,-10.00%,4/30/2014,All Residential,"Portland, OR - Ashcreek"
1.046967687,1.10%,4.10%,12,9.10%,-29.40%,3,-40.00%,0.00%,6,-0.5,-6,$473K,-13.30%,14.70%,11,-31.30%,22.20%,12/31/2015,All Residential,"Portland, OR - Buckman"
1.023476609,1.40%,2.60%,27,-12.90%,50.00%,8,-27.30%,-46.70%,21,-11,8.5,$465K,0.00%,1.40%,27,17.40%,-20.60%,3/31/2017,All Residential,"Portland, OR - King"
1.007630542,-0.30%,-1.00%,14,-6.70%,40.00%,13,30.00%,225.00%,54,-7.5,46,$380K,0.00%,6.30%,13,30.00%,44.40%,4/30/2014,All Residential,"Portland, OR - Humboldt"
1.047619859,1.70%,0.00%,20,53.80%,66.70%,4,-42.90%,0.00%,20,14,15,$630K,9.60%,53.80%,15,-25.00%,15.40%,5/31/2017,All Residential,"Portland, OR - Vernon"
1.01378134,-0.40%,2.00%,39,-13.30%,18.20%,18,50.00%,63.60%,7,0,-2,$415K,5.10%,23.50%,31,-3.10%,3.30%,7/31/2015,All Residential,"Portland, OR - Hayhurst"
0.976613246,-1.30%,1.20%,14,0.00%,16.70%,7,-36.40%,-30.00%,63,10.5,-14,$204K,2.00%,28.20%,8,-11.10%,-11.10%,1/31/2013,All Residential,"Portland, OR - Russell"
1.041393255,-0.50%,0.30%,97,14.10%,7.80%,38,18.80%,65.20%,7,0,0,$295K,1.70%,18.60%,96,-6.80%,29.70%,7/31/2016,All Residential,"Portland, OR - Brentwood"
1.001798439,0.40%,-5.20%,9,12.50%,-25.00%,4,300.00%,-33.30%,15,-10,3,$510K,-0.40%,6.30%,6,50.00%,-64.70%,10/31/2017,All Residential,"Portland, OR - Marshall Park"
1.001021186,0.50%,,7,75.00%,,1,0.00%,,22,-78,,$305K,25.20%,,9,12.50%,,4/30/2015,All Residential,"Portland, OR - East Columbia"
1.018204715,1.50%,-1.20%,22,4.80%,4.80%,12,20.00%,50.00%,6,-0.5,0,$792K,1.50%,29.40%,31,3.30%,34.80%,5/31/2017,All Residential,"Portland, OR - Laurelhurst"
1.028596454,-1.30%,-4.80%,10,66.70%,-50.00%,6,50.00%,200.00%,8.5,-7,2.5,$625K,3.70%,-3.50%,18,38.50%,-5.30%,4/30/2017,All Residential,"Portland, OR - Grant Park"
1.033917391,0.20%,-1.40%,16,-15.80%,23.10%,5,-28.60%,-16.70%,27,5,19,$260K,-3.70%,2.00%,16,23.10%,23.10%,2/28/2017,All Residential,"Portland, OR - Cathedral Park"
0.987265839,-0.70%,2.50%,18,0.00%,0.00%,6,-25.00%,20.00%,64,18,46,$418K,6.50%,16.10%,9,-43.80%,-10.00%,12/31/2014,All Residential,"Portland, OR - Brooklyn"
1.004673758,-0.40%,0.50%,102,8.50%,-1.90%,58,1.80%,20.80%,12,2,-4.5,$705K,13.20%,34.30%,128,-1.50%,17.40%,7/31/2016,All Residential,"Portland, OR - Northwest District"
1.004445341,-1.60%,-4.70%,23,-23.30%,-20.70%,7,-12.50%,16.70%,20,8.5,15,$319K,-8.80%,15.80%,16,-33.30%,-20.00%,11/30/2016,All Residential,"Portland, OR - Cathedral Park"
1.025090238,0.10%,4.30%,46,39.40%,70.40%,20,17.60%,-16.70%,14,0,-28,$303K,3.60%,13.50%,43,-4.40%,22.90%,4/30/2013,All Residential,"Portland, OR - Woodstock"
0.975452016,0.10%,1.00%,20,0.00%,42.90%,15,-21.10%,-53.10%,50.5,-30.5,38.5,$588K,3.50%,24.40%,14,7.70%,-22.20%,1/31/2012,All Residential,"Portland, OR - Irvington"
1.014638236,1.50%,0.80%,108,0.00%,20.00%,51,18.60%,64.50%,21.5,-3.5,-6,$266K,5.90%,14.80%,116,33.30%,46.80%,3/31/2017,All Residential,"Portland, OR - Powellhurst-Gilbert"
1.015301569,-2.60%,-2.50%,38,-2.60%,-5.00%,18,5.90%,28.60%,11,4,5,$583K,0.40%,9.90%,54,8.00%,28.60%,7/31/2017,All Residential,"Portland, OR - Mount Tabor"
0.960435331,-1.10%,0.70%,41,-19.60%,64.00%,27,-6.90%,-49.10%,83,1,-37,$208K,0.00%,-2.60%,21,-34.40%,-4.50%,11/30/2012,All Residential,"Portland, OR - Wilkes"
0.976907028,-1.20%,1.60%,43,-18.90%,2.40%,41,-18.00%,-26.80%,56,0,-4.5,$159K,0.60%,22.30%,47,4.40%,6.80%,10/31/2012,All Residential,"Portland, OR - Brentwood"
0.999483618,-0.80%,2.20%,15,0.00%,66.70%,3,-25.00%,-25.00%,38,0,0.5,$388K,21.10%,64.90%,9,-10.00%,28.60%,2/29/2016,All Residential,"Portland, OR - West Portland Park"
0.980851265,0.40%,2.50%,287,-11.10%,10.00%,230,-6.10%,-31.80%,52,-4,-37.5,$355K,-6.30%,4.70%,195,-18.40%,-8.50%,11/30/2012,All Residential,"Portland, OR - Neighbors West-Northwest"
0.986164153,0.90%,0.80%,29,-14.70%,45.00%,33,-5.70%,-19.50%,57.5,10.5,-52.5,$275K,-5.80%,5.40%,30,-25.00%,7.10%,10/31/2012,All Residential,"Portland, OR - Ashcreek"
0.987861004,0.40%,1.70%,38,31.00%,15.20%,26,-10.30%,-38.10%,43,-37,-65.5,$191K,3.40%,16.30%,39,18.20%,5.40%,5/31/2012,All Residential,"Portland, OR - Cully"
1.010772163,0.60%,-4.60%,22,-15.40%,4.80%,8,14.30%,-38.50%,7,-8.5,2.5,$368K,6.00%,-11.40%,19,-5.00%,-40.60%,6/30/2017,All Residential,"Portland, OR - West Portland Park"
1.007297973,0.10%,-11.60%,21,0.00%,320.00%,3,-50.00%,-62.50%,9.5,2.5,2.5,$346K,0.00%,26.00%,17,-22.70%,112.50%,9/30/2015,All Residential,"Portland, OR - Crestwood"
1.002590321,-0.10%,0.30%,53,-8.60%,32.50%,26,-21.20%,136.40%,13,6,-6,$460K,-0.50%,11.10%,29,-37.00%,-14.70%,11/30/2016,All Residential,"Portland, OR - Ashcreek"
0.967281966,0.50%,1.20%,217,18.60%,-11.80%,304,0.30%,-30.10%,119,0,-18,$375K,2.70%,2.00%,272,13.80%,7.50%,4/30/2012,All Residential,"Portland, OR - Neighbors West-Northwest"
1.026086311,-0.40%,2.50%,3,-25.00%,-57.10%,2,-50.00%,100.00%,5,-1.5,-17,$313K,1.80%,2.60%,3,-50.00%,-66.70%,4/30/2016,All Residential,"Portland, OR - East Columbia"
1.013511897,-0.10%,-0.50%,25,66.70%,-13.80%,20,-13.00%,11.10%,6.5,0,0,$592K,0.00%,15.50%,39,-7.10%,14.70%,8/31/2016,All Residential,"Portland, OR - Bridlemile"
0.984400561,1.40%,2.30%,12,20.00%,-14.30%,9,0.00%,-25.00%,83,0,-21,$261K,9.40%,-3.30%,16,23.10%,33.30%,7/31/2012,All Residential,"Portland, OR - Center"
0.985148055,-0.20%,0.10%,2355,1.20%,5.10%,6678,-7.90%,4.90%,52,10,-15,$255K,-3.70%,8.50%,1329,-28.10%,9.70%,12/31/2013,All Residential,"Portland, OR metro area"
1.050495462,2.80%,4.90%,21,0.00%,-22.20%,8,0.00%,-33.30%,8,-3,0,$260K,-0.20%,16.00%,22,4.80%,-35.30%,5/31/2015,All Residential,"Portland, OR - Madison South"
1.054001741,-0.40%,2.00%,13,-23.50%,-7.10%,9,0.00%,80.00%,6,0,-3.5,$587K,-0.60%,15.60%,9,-35.70%,-25.00%,7/31/2017,All Residential,"Portland, OR - Boise"
0.999907516,-0.90%,0.60%,37,-11.90%,8.80%,3,-40.00%,-87.50%,9,-2,-5,$335K,1.20%,-6.50%,18,-18.20%,-51.40%,12/31/2015,All Residential,"Portland, OR - Multnomah Village"
1.004883853,-0.40%,2.80%,10,25.00%,233.30%,5,66.70%,66.70%,25.5,14,19,$350K,15.00%,-26.40%,8,-20.00%,60.00%,10/31/2017,All Residential,"Portland, OR - East Columbia"
0.971938972,-1.50%,0.90%,23,21.10%,76.90%,20,-9.10%,-33.30%,34.5,-17,-24.5,$379K,1.60%,-0.10%,19,-29.60%,11.80%,9/30/2012,All Residential,"Portland, OR - Arnold Creek"
0.995117265,-0.10%,1.60%,38,15.20%,-11.60%,40,8.10%,21.20%,66.5,29.5,33,$688K,-8.00%,-6.90%,45,45.20%,2.30%,3/31/2017,All Residential,"Portland, OR - Southwest Hills"
1.00701689,0.40%,2.40%,4,33.30%,-20.00%,6,100.00%,-25.00%,40,22,-8,$275K,22.30%,52.80%,8,166.70%,0.00%,3/31/2016,All Residential,"Portland, OR - Glenfair"
0.983853074,-2.30%,1.20%,12,0.00%,-7.70%,15,25.00%,0.00%,24,0,-20,$250K,0.00%,33.90%,20,42.90%,81.80%,3/31/2013,All Residential,"Portland, OR - Cathedral Park"
1.065848545,1.80%,4.80%,40,5.30%,33.30%,16,23.10%,23.10%,6.5,-2.5,-0.5,$366K,-3.00%,11.40%,43,2.40%,10.30%,7/31/2015,All Residential,"Portland, OR - Creston-Kenilworth"
1.011319084,2.70%,3.50%,18,-5.30%,50.00%,8,-27.30%,-27.30%,7,-19,-52,$360K,2.80%,19.00%,24,-7.70%,71.40%,6/30/2015,All Residential,"Portland, OR - West Portland Park"
0.98794569,0.50%,-0.50%,42,7.70%,2.40%,28,40.00%,-30.00%,17.5,4.5,-11,$245K,2.10%,1.00%,53,35.90%,15.20%,8/31/2012,All Residential,"Portland, OR - Woodstock"
0.991631788,0.20%,-1.50%,37,-7.50%,-5.10%,23,9.50%,9.50%,40.5,-7.5,18,$264K,0.80%,1.30%,43,48.30%,34.40%,1/31/2014,All Residential,"Portland, OR - Woodstock"
0.996756389,-0.10%,2.40%,262,-10.60%,30.30%,147,-14.00%,-25.00%,24,7,-26,$346K,1.80%,20.10%,232,-14.10%,10.50%,11/30/2012,All Residential,"Portland, OR - Northeast Portland"
1.010465068,0.40%,0.90%,56,30.20%,24.40%,32,10.30%,-33.30%,12.5,2,1,$211K,3.70%,10.80%,64,28.00%,-13.50%,6/30/2014,All Residential,"Portland, OR - Brentwood-Darlington"
0.995702492,0.10%,-1.00%,26,-3.70%,116.70%,6,-14.30%,-50.00%,6,0.5,0,$374K,-0.30%,18.70%,18,-14.30%,12.50%,6/30/2015,All Residential,"Portland, OR - Markham"
0.993929043,-0.50%,-3.80%,15,-40.00%,-40.00%,7,0.00%,0.00%,27,16.5,7.5,$345K,-2.30%,17.70%,18,20.00%,20.00%,12/31/2017,All Residential,"Portland, OR - Cathedral Park"
0.993224374,0.80%,-0.10%,10,-9.10%,-37.50%,6,20.00%,-14.30%,49,14.5,40.5,$372K,45.90%,-4.00%,11,0.00%,-15.40%,8/31/2014,All Residential,"Portland, OR - Kerns"
0.998173873,-0.80%,-0.10%,18,-18.20%,-5.30%,7,-12.50%,0.00%,8,-15,-23,$440K,9.30%,6.70%,20,66.70%,-28.60%,3/31/2014,All Residential,"Portland, OR - Beaumont-Wilshire"
0.985039605,0.20%,-0.90%,11,-15.40%,37.50%,7,0.00%,40.00%,10,0,3,$347K,0.40%,16.20%,11,22.20%,0.00%,2/28/2014,All Residential,"Portland, OR - Brooklyn"
0.992323671,-0.60%,-3.00%,19,11.80%,-5.00%,6,-33.30%,-50.00%,14,9.5,6,$375K,2.60%,12.80%,14,-33.30%,-26.30%,11/30/2017,All Residential,"Portland, OR - Argay"
1.017589965,0.00%,1.20%,52,13.00%,40.50%,21,0.00%,-30.00%,10,0,0,$370K,5.60%,13.40%,67,11.70%,36.70%,5/31/2013,All Residential,"Portland, OR - Concordia"
1.027216757,0.00%,-1.40%,81,0.00%,-16.50%,36,-12.20%,-5.30%,6,-1.5,-1,$320K,3.20%,8.50%,103,9.60%,7.30%,7/31/2017,All Residential,"Portland, OR - Brentwood"
0.996788032,0.10%,1.20%,38,-11.60%,171.40%,13,8.30%,-38.10%,22,0,7,$545K,-0.20%,18.70%,22,-21.40%,-43.60%,9/30/2013,All Residential,"Portland, OR - Alameda"
0.964038904,1.20%,0.50%,24,50.00%,84.60%,26,23.80%,0.00%,28,-37,-13,$524K,31.70%,37.80%,34,17.20%,36.00%,6/30/2012,All Residential,"Portland, OR - Bridlemile"
0.999768586,-1.00%,0.30%,15,0.00%,-16.70%,9,125.00%,-10.00%,52,-25,30,$225K,4.40%,7.70%,14,55.60%,-30.00%,5/31/2014,All Residential,"Portland, OR - Russell"
0.992576283,0.60%,1.70%,28,-6.70%,33.30%,15,-6.30%,-55.90%,22,-30,-87.5,$304K,10.60%,0.70%,36,9.10%,28.60%,5/31/2012,All Residential,"Portland, OR - King"
0.999470176,0.50%,3.10%,21,0.00%,40.00%,32,33.30%,-31.90%,20,-56,-2,$255K,-5.50%,11.90%,40,29.00%,14.30%,5/31/2012,All Residential,"Portland, OR - Ashcreek"
1.061655766,-4.60%,-2.50%,29,52.60%,-25.60%,10,100.00%,42.90%,6,0,2,$402K,-0.90%,14.70%,39,30.00%,-17.00%,6/30/2016,All Residential,"Portland, OR - South Tabor"
0.990646344,0.70%,0.80%,28,-9.70%,0.00%,36,-7.70%,80.00%,55.5,5,9.5,$428K,14.00%,11.00%,35,12.90%,84.20%,2/28/2018,All Residential,"Portland, OR - Downtown Portland"
0.992017122,-0.40%,1.90%,35,-7.90%,40.00%,20,0.00%,-16.70%,50.5,3.5,5.5,$261K,9.00%,26.70%,31,0.00%,-3.10%,7/31/2012,All Residential,"Portland, OR - Piedmont"
0.965555126,-0.30%,0.10%,14,27.30%,-33.30%,16,-5.90%,-11.10%,36,5,-32.5,$322K,29.00%,8.30%,23,15.00%,27.80%,5/31/2012,All Residential,"Portland, OR - Hayhurst"
0.993347565,0.30%,0.20%,47,-7.80%,-25.40%,35,-23.90%,-20.50%,23,-5.5,-12,$385K,0.00%,5.50%,47,-25.40%,14.60%,11/30/2017,All Residential,"Portland, OR - Pleasant Valley"
0.998370998,0.70%,0.20%,39,5.40%,14.70%,16,-30.40%,-20.00%,8,-32.5,-12.5,$264K,0.00%,-4.80%,40,-7.00%,14.30%,2/28/2014,All Residential,"Portland, OR - Woodstock"
0.955428817,2.00%,-2.70%,13,18.20%,85.70%,17,13.30%,13.30%,52,-1,-63,"$1,300K",-3.50%,9.70%,11,22.20%,57.10%,1/31/2017,All Residential,"Portland, OR - Dunthorpe"
0.963950949,0.70%,-2.70%,10,-9.10%,0.00%,3,-40.00%,-62.50%,12.5,-19.5,1.5,$484K,1.00%,5.90%,12,0.00%,-7.70%,6/30/2015,All Residential,"Portland, OR - Marshall Park"
0.999147757,0.80%,-0.30%,45,0.00%,18.40%,11,-38.90%,37.50%,15.5,-1.5,-5.5,$567K,7.40%,2.60%,28,-42.90%,-12.50%,12/31/2016,All Residential,"Portland, OR - Mount Tabor"
0.935478185,0.30%,-4.80%,7,-30.00%,-50.00%,14,16.70%,-17.60%,38,-40,-31,"$1,050K",-10.50%,-10.90%,7,40.00%,-63.20%,3/31/2018,All Residential,"Portland, OR - Dunthorpe"
1.010815108,-0.30%,3.20%,13,8.30%,0.00%,9,-25.00%,0.00%,5,0.5,-12,$385K,-11.00%,23.80%,24,0.00%,50.00%,7/31/2013,All Residential,"Portland, OR - Humboldt"
0.993222863,-0.30%,0.40%,41,-12.80%,70.80%,22,-8.30%,-24.10%,29,8,0,$325K,0.00%,27.00%,29,-19.40%,31.80%,11/30/2013,All Residential,"Portland, OR - Ashcreek"
0.990271791,-0.90%,-1.40%,9,-10.00%,-30.80%,6,-14.30%,20.00%,14,0,-23,$630K,46.30%,56.50%,4,-42.90%,-60.00%,12/31/2016,All Residential,"Portland, OR - Collins View"
0.985482358,0.10%,-0.10%,1948,8.90%,8.90%,6525,0.50%,7.10%,62,2,-2,$265K,3.90%,12.80%,2233,-0.60%,-1.80%,2/28/2014,All Residential,"Portland, OR metro area"
1.004000357,-0.10%,0.50%,38,31.00%,18.80%,12,33.30%,-14.30%,8,-1,-4,$355K,-1.30%,7.70%,40,11.10%,48.10%,8/31/2014,All Residential,"Portland, OR - King"
0.99370791,0.60%,3.00%,46,4.50%,84.00%,42,2.40%,-32.30%,33,-4,-38,$212K,-5.10%,-3.80%,35,-14.60%,-10.30%,7/31/2012,All Residential,"Portland, OR - Pleasant Valley"
0.974942384,-1.80%,-0.50%,7,0.00%,-12.50%,5,-44.40%,-16.70%,9,-1,-115,$348K,0.00%,27.90%,5,-28.60%,-44.40%,1/31/2014,All Residential,"Portland, OR - Maplewood"
0.977879295,0.10%,1.10%,71,12.70%,47.90%,45,-6.30%,-33.80%,51,8,-44,$475K,-4.00%,1.90%,74,15.60%,7.20%,3/31/2014,All Residential,"Portland, OR - Northwest District"
