Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
1.035670109,-0.20%,0.10%,8,14.30%,-27.30%,8,33.30%,33.30%,6.5,-0.5,0.5,$302K,4.10%,17.30%,11,0.00%,-26.70%,7/31/2017,All Residential,"Portland, OR - Glenfair"
0.978051063,-0.30%,-0.50%,13,0.00%,44.40%,,,,53.5,-25.5,28.5,$357K,13.00%,6.60%,6,-14.30%,-33.30%,3/31/2015,All Residential,"Portland, OR - Eliot"
0.985483024,-0.20%,2.00%,4,33.30%,0.00%,13,-13.30%,-27.80%,92.5,75,-57.5,$156K,9.70%,9.10%,7,40.00%,75.00%,1/31/2012,All Residential,"Portland, OR - Lents-Powellhurst-Gilbert"
0.991231166,-0.20%,-0.80%,20,17.60%,-16.70%,15,50.00%,7.10%,10,0,-10,$262K,-12.70%,4.80%,31,34.80%,24.00%,7/31/2014,All Residential,"Portland, OR - Argay"
1.029713166,-0.50%,-0.70%,166,-1.80%,-5.10%,103,25.60%,77.60%,6,-1,-1,$575K,4.20%,7.50%,233,12.60%,5.00%,6/30/2017,All Residential,"Portland, OR - Hawthorne District"
1.006017025,1.10%,2.80%,29,-9.40%,3.60%,28,47.40%,64.70%,12,-5,-3,$829K,-0.70%,20.10%,32,6.70%,6.70%,8/31/2016,All Residential,"Portland, OR - Hillside"
1.067537334,1.20%,5.60%,15,0.00%,15.40%,6,200.00%,200.00%,8,-3,-29,$498K,15.80%,33.00%,24,60.00%,200.00%,4/30/2016,All Residential,"Portland, OR - Brooklyn"
0.964400371,1.70%,2.70%,18,50.00%,5.90%,21,75.00%,-19.20%,151,13,110,$564K,11.90%,7.40%,24,118.20%,26.30%,4/30/2012,All Residential,"Portland, OR - Hillside"
1.023278215,0.70%,-0.80%,10,11.10%,66.70%,8,0.00%,-27.30%,12,2,-6.5,$598K,-2.80%,6.50%,12,-7.70%,-20.00%,11/30/2017,All Residential,"Portland, OR - Eliot"
0.999899245,-1.60%,8.80%,44,15.80%,37.50%,66,4.80%,-16.50%,47,0.5,-47,$131K,3.70%,2.60%,51,2.00%,10.90%,2/29/2012,All Residential,"Portland, OR - Brentwood"
1.00767482,-0.40%,1.80%,37,5.70%,27.60%,21,-4.50%,-12.50%,17.5,-1.5,-12.5,$240K,12.00%,34.10%,39,14.70%,-7.10%,5/31/2015,All Residential,"Portland, OR - Southgate"
0.982813676,-0.40%,1.80%,14,0.00%,55.60%,12,0.00%,-50.00%,59.5,11.5,-129.5,$605K,5.80%,3.50%,12,71.40%,0.00%,2/28/2014,All Residential,"Portland, OR - Hillside"
1.000993015,-0.10%,0.80%,41,-8.90%,-10.90%,19,-24.00%,-17.40%,6.5,-3.5,-6.5,$345K,3.00%,13.50%,42,10.50%,-19.20%,7/31/2014,All Residential,"Portland, OR - Multnomah Village"
1.011628158,-1.20%,1.30%,7,-30.00%,16.70%,7,-12.50%,-22.20%,10,-2,-10.5,$520K,-13.00%,7.50%,12,0.00%,50.00%,12/31/2017,All Residential,"Portland, OR - Eliot"
1.026103778,5.50%,4.30%,7,-30.00%,75.00%,1,0.00%,-90.90%,6.5,0,-11.5,$485K,5.60%,37.60%,8,0.00%,-61.90%,6/30/2015,All Residential,"Portland, OR - Eliot"
1.017708321,1.00%,-0.40%,13,-7.10%,44.40%,7,-50.00%,0.00%,5.5,0.5,-5.5,$605K,7.80%,16.30%,8,-57.90%,-42.90%,9/30/2017,All Residential,"Portland, OR - Eliot"
0.960836727,-0.50%,-0.10%,23,15.00%,91.70%,22,10.00%,120.00%,41,8,-95,$400K,-14.90%,-30.90%,16,-23.80%,433.30%,11/30/2013,All Residential,"Portland, OR - Forest Highlands"
0.968672063,0.90%,4.80%,7,0.00%,-56.30%,18,-18.20%,-5.30%,98,-25,-8,$215K,-4.40%,90.50%,10,-16.70%,-16.70%,12/31/2013,All Residential,"Portland, OR - Hayden Island"
1.009770727,3.40%,2.00%,13,-18.80%,-7.10%,7,-22.20%,-46.20%,14,-40,-80.5,$350K,7.40%,31.10%,10,-16.70%,-28.60%,5/31/2012,All Residential,"Portland, OR - Eliot"
0.995679123,0.60%,-5.00%,33,-8.30%,10.00%,17,6.30%,41.70%,32,-4,26.5,$425K,9.00%,8.30%,38,22.60%,-9.50%,3/31/2017,All Residential,"Portland, OR - Multnomah Village"
0.97024955,0.10%,3.20%,83,15.30%,-7.80%,80,1.30%,-39.80%,67.5,5,-16.5,$427K,-0.20%,7.10%,81,11.00%,-12.00%,8/31/2012,All Residential,"Portland, OR - Northwest District"
0.991113892,-0.20%,0.30%,17,6.30%,142.90%,11,10.00%,10.00%,7.5,2.5,-132.5,$440K,9.00%,10.30%,13,-23.50%,44.40%,12/31/2013,All Residential,"Portland, OR - Buckman"
0.980864679,0.10%,2.10%,33,10.00%,10.00%,43,-2.30%,19.40%,115,49,51.5,$258K,-0.30%,-19.80%,32,-3.00%,-3.00%,9/30/2012,All Residential,"Portland, OR - Downtown Portland"
0.925238885,-8.00%,-8.50%,3,-40.00%,0.00%,4,0.00%,-20.00%,71,42,-200,$250K,-23.10%,42.80%,1,-50.00%,0.00%,12/31/2012,All Residential,"Portland, OR - Marshall Park"
1.00840242,-0.50%,-1.80%,22,-12.00%,-35.30%,23,4.50%,9.50%,9.5,-3.5,2.5,$435K,-1.10%,4.40%,38,11.80%,-15.60%,9/30/2017,All Residential,"Portland, OR - Piedmont"
1.042656088,4.20%,2.10%,21,90.90%,16.70%,6,0.00%,-50.00%,22,14,-1,$346K,0.00%,11.30%,13,-23.50%,-40.90%,4/30/2014,All Residential,"Portland, OR - Center"
0.998393495,-0.60%,-3.20%,21,31.30%,23.50%,6,0.00%,100.00%,15.5,-2,8,$370K,2.80%,19.00%,17,-5.60%,-19.00%,6/30/2017,All Residential,"Portland, OR - Argay"
0.988642496,-0.10%,-0.40%,21,-16.00%,-19.20%,3,-57.10%,-50.00%,20.5,4.5,-27.5,$550K,10.00%,24.30%,8,-46.70%,-42.90%,1/31/2018,All Residential,"Portland, OR - Hayhurst"
