bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
90,-74,2017-01-31 07:09:11,8340,28,8341,29,7127547,313,45.530079,-122.66361299999998
0,17,2017-01-31 07:09:13,13138,7,13139,8,7129573,322,45.514001,-122.56438700000001
253,-165,2017-01-31 07:09:16,9840,42,9837,43,7127910,230,45.526915,-122.94663500000001
311,-71,2017-01-31 07:09:19,10576,25,10579,26,7126593,240,45.585806,-122.591398
296,-230,2017-01-31 07:09:43,8372,3,8373,4,7127665,209,45.531965,-122.61723899999998
299,-230,2017-01-31 07:09:52,10121,19,9624,20,7127664,249,45.510384,-122.781326
246,-56,2017-01-31 07:09:58,13727,8,13728,9,7130119,532,45.502746,-122.67153300000001
266,-211,2017-01-31 07:10:05,9820,29,10117,30,7127911,223,45.517959000000005,-122.693079
345,-51,2017-01-31 07:10:15,8369,12,8370,13,7127666,306,45.530421000000004,-122.563448
119,-282,2017-01-31 07:10:21,9822,12,9826,13,7127287,417,45.495992,-122.82341100000001
90,-51,2017-01-31 07:10:27,8341,29,8342,30,7127547,313,45.53007,-122.658897
202,-91,2017-01-31 07:10:33,7608,5,7618,6,7130328,319,45.511463,-122.68153600000001
120,-197,2017-01-31 07:10:49,8355,43,13450,44,7127546,229,45.507843,-122.440932
20,0,2017-01-31 07:10:51,13123,4,7777,5,7129360,120,45.519119,-122.678629
0,-144,2017-01-31 07:10:56,11513,13,11514,14,7128218,303,45.577851,-122.682065
233,-58,2017-01-31 07:11:00,8371,10,8372,11,7129574,241,45.528765,-122.602843
174,-542,2017-01-31 07:11:04,8346,15,8347,16,7129359,104,45.530014,-122.56349499999999
306,-702,2017-01-31 07:11:14,9825,23,9819,24,7127663,109,45.500609000000004,-122.833321
120,-294,2017-01-31 07:11:40,9826,13,9824,14,7127287,417,45.492985,-122.81588899999998
121,-170,2017-01-31 07:11:51,13450,44,8356,45,7127546,229,45.505736999999996,-122.435891
203,-31,2017-01-31 07:12:02,7618,6,7606,7,7130328,205,45.508882,-122.68304199999999
276,-154,2017-01-31 07:12:06,9837,43,9842,44,7127910,230,45.521253,-122.970223
20,13,2017-01-31 07:12:17,7777,5,7787,6,7129360,203,45.522688,-122.676645
89,-73,2017-01-31 07:12:21,8342,30,8343,31,7127547,221,45.53005,-122.65468700000001
11,7,2017-01-31 07:12:24,13139,8,12931,9,7129573,124,45.529374,-122.563502
295,-93,2017-01-31 07:12:40,8370,13,8371,14,7127666,306,45.532475,-122.575492
306,-731,2017-01-31 07:12:43,9819,24,9827,25,7127663,227,45.505414,-122.842409
306,-152,2017-01-31 07:13:03,11514,14,11515,15,7128218,122,45.584072,-122.68636799999999
268,-192,2017-01-31 07:13:09,8373,4,8374,5,7127665,209,45.530028,-122.64910800000001
105,-140,2017-01-31 07:13:22,8356,45,8357,46,7127546,114,45.502503000000004,-122.42660900000001
92,-25,2017-01-31 07:13:27,7606,7,13710,8,7130328,205,45.507887,-122.68027099999999
288,-30,2017-01-31 07:13:32,8372,11,8373,12,7129574,241,45.532857,-122.62081299999998
